Идентификатор DOI *,Количество авторов *,Фамилия *,Имя *,Количество аффиляций *,Аффиляция *,Контрибьюция *,Дата публикации *,Наименование публикации *,Наименование издания *,Библиографическая ссылка *,Вид издания  *
10.1007/s00170-022-10798-9,6,Radionova, L.,1,Moscow Polytechnic University,0.17,2023,Mechanical attributes and microstructural characteristics of resistance spot-welded HSLA 420 steel joints,International Journal of Advanced Manufacturing Technology,"Zhao, D., Vdonin, N., Bezgans, Y., Radionova, L., Bykov, V., Glebov, L. Mechanical attributes and microstructural characteristics of resistance spot-welded HSLA 420 steel joints (2023) International Journal of Advanced Manufacturing Technology, 124 (10), pp. 3505-3518",Статья
10.1016/j.surfin.2022.102539,7,Kazak, A.V.,3,"Nanomaterials Research Institute, Moscow Polytechnic University, Моscow State Regional University",0.05,2023,"The structure, optical properties and photovoltaic effect in Langmuir-Schaefer films of nickel (II) bis-semiquinone complex derived from 3,6-di‑tert‑butyl‑benzoquinone annulated with a 1,3 -dithiole-2-thiocarbonyl fragment",Surfaces and Interfaces,"Kuropatov, V.A., Nikitin, K.S., Pakhomov, G.L., Norkov, S.V., Shurygina, M.P., Kazak, A.V., Cherkasov, V.K. The structure, optical properties and photovoltaic effect in Langmuir-Schaefer films of nickel (II) bis-semiquinone complex derived from 3,6-di‑tert‑butyl‑benzoquinone annulated with a 1,3 -dithiole-2-thiocarbonyl fragment (2023) Surfaces and Interfaces, 36, Статья № 102539",Статья
10.1007/s12633-022-02147-y,5,"Skvortsov, Varlamov, Nikolaev, Volodina, Skvortsova"," A.A.,  D.O.,  V.K.,  O.V.,  A.A.",1,"Physics and Mathematics, Physics and Mathematics, Physics and Mathematics, Physics and Mathematics, Physics and Mathematics",1.0,2023,Shock-wave Processes in the Electric Explosion of Thin-Film Systems on Silicon,Silicon,"Skvortsov, A.A., Varlamov, D.O., Nikolaev, V.K., Volodina, O.V., Skvortsova, A.A. Shock-wave Processes in the Electric Explosion of Thin-Film Systems on Silicon (2023) Silicon, 15 (4), pp. 1987-1992",Статья
10.25018/0236_1493_2023_11_0_82,4,"Borovkov, Derevyashkin, Merzlyakov"," Yu.A.,  I.V.,  V.G.",2,"Sergo Ordzhonikidzе Russian State Geological Prospecting University (MGRI-RSGPU), Sergo Ordzhonikidzе Russian State Geological Prospecting University (MGRI-RSGPU), Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",0.58,2023,Effect of structure and mining depth on hydraulic cutting velocity in rocks [ВЛИЯНИЕ СТРУКТУРЫ ГОРНЫХ ПОРОД И ГЛУБИНЫ РАЗРАБОТКИ НА СКОРОСТЬ ИХ ГИДРАВЛИЧЕСКОГО РЕЗАНИЯ],Mining Informational and Analytical Bulletin,"Borovkov, Yu.A., Derevyashkin, I.V., Merzlyakov, V.G., Bludov, A.N. Effect of structure and mining depth on hydraulic cutting velocity in rocks [ВЛИЯНИЕ СТРУКТУРЫ ГОРНЫХ ПОРОД И ГЛУБИНЫ РАЗРАБОТКИ НА СКОРОСТЬ ИХ ГИДРАВЛИЧЕСКОГО РЕЗАНИЯ] (2023) Mining Informational and Analytical Bulletin, Выпуск 11, pp. 82-90",Статья
10.1007/s11015-023-01600-6,3,"Shatalov, Zagoskin"," R.L.,  E.E.",1,"Moscow Polytechnic University, Moscow Polytechnic University",0.67,2023,Effects of Uneven Temperature Variations on the Mechanical Properties of a Rolling and Pressing Line Deforming Tool,Metallurgist,"Shatalov, R.L., Zagoskin, E.E., Medvedev, V.A. Effects of Uneven Temperature Variations on the Mechanical Properties of a Rolling and Pressing Line Deforming Tool (2023) Metallurgist",Статья
10.1007/s11018-023-02248-z,4,"Ershov, Malakhov"," D.S.,  A.V.",2,"Moscow Polytechnic University, Metrological Center of the Ministry of Defense of the Russian Federation, Moscow Polytechnic University, Metrological Center of the Ministry of Defense of the Russian Federation",0.25,2023,Analysis of operation models of complex technical systems,Measurement Techniques,"Ershov, D.S., Malakhov, A.V., Talalai, A.V., Khayrullin, R.Z. Analysis of operation models of complex technical systems (2023) Measurement Techniques",Статья
10.26583/sv.15.4.10,3,"Petrov, Romashov"," M.A.,  D.A.",1,"FSAEI HE «Moscow Polytechnic University», FSAEI HE «Moscow Polytechnic University»",0.67,2023,Estimation of Sheet Deformation of Aluminium Blank using Non-Contact Methods on the Example of Erichsen Cupping Test,Scientific Visualization,"Petrov, M.A., Romashov, D.A., Isakov, V.V. Estimation of Sheet Deformation of Aluminium Blank using Non-Contact Methods on the Example of Erichsen Cupping Test (2023) Scientific Visualization, 15 (4), pp. 124-139",Статья
10.18287/JBPE23.09.020301,13,Kazak, A.V.,2,"Institute of Applied Mathematics, Department of Physics",0.04,2023,Physical and Biological Properties of Layers with Nanoparticles Based on Metal Chalcogenides and Titanium Synthesized by Femtosecond Laser Ablation and Fragmentation in Liquid,Journal of Biomedical Photonics and Engineering,"Kurilova, U.E., Chernikov, A.S., Kochuev, D.A., Volkova, L.S., Voznesenskaya, A.A., Chkalov, R.V., Abramov, D.V., Kazak, A.V., Suetina, I.A., Mezentseva, M.V., Russu, L.I., Gerasimenko, A.Yu., Khorkov, K.S. Physical and Biological Properties of Layers with Nanoparticles Based on Metal Chalcogenides and Titanium Synthesized by Femtosecond Laser Ablation and Fragmentation in Liquid (2023) Journal of Biomedical Photonics and Engineering, 9 (2), Статья № 20301",Статья
10.1007/s10749-023-01661-2,6,Mikheev, G.M.,1,Cheboksary Institute (branch) of the Moscow Polytechnical University,0.17,2023,Use of the Fast Fourier Transform for Control of an Arc Suppression Reactor with Magnetization,Power Technology and Engineering,"Ziganshin, A.G., Fardiev, I.S., Stepanov, I.N., Mikheev, G.M., Chepaykin, V.L., Kadeev, N.P. Use of the Fast Fourier Transform for Control of an Arc Suppression Reactor with Magnetization (2023) Power Technology and Engineering",Статья
10.18280/ijsse.130502,3,"Grafkina, Sviridova"," M.V.,  E.Y.",1,"Environmental Safety of Technical Systems, Environmental Safety of Technical Systems",0.67,2023,Reducing Occupational Risks in Industrial Processes: Analysis and Recommendations for Improving Safety in Production Equipment and Facilities,International Journal of Safety and Security Engineering,"Grafkina, M.V., Sviridova, E.Y., Goryacheva, E.V. Reducing Occupational Risks in Industrial Processes: Analysis and Recommendations for Improving Safety in Production Equipment and Facilities (2023) International Journal of Safety and Security Engineering, 13 (5), pp. 781-788",Статья
10.1007/s00170-023-12651-z,3,Moskovskikh, D.,2,"Center for Functional Nano-Ceramics, Research Laboratory of Scanning Probe Microscopy",0.17,2023,Enhancing mechanical and damping performance of 3D-printed aluminium-7075 with shape memory high-entropy alloy (SMHEA): parametric optimization and mathematical modeling,International Journal of Advanced Manufacturing Technology,"Akinwande, A.A., Moskovskikh, D., Romanovski, V. Enhancing mechanical and damping performance of 3D-printed aluminium-7075 with shape memory high-entropy alloy (SMHEA): parametric optimization and mathematical modeling (2023) International Journal of Advanced Manufacturing Technology",Статья
,3,"Gilev, Maksimov, Chernov"," G.A.,  N.E.,  Yu.I.",2,"Moscow Pedagogical State University, Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",0.83,2023,"INCREASING THE PERFORMANCE OF SWIMMERS SPECIALIZING IN SPRINTING AND MIDDLE DISTANCES, UNDER DIFFERENT RECOVERY MODES",Teoriya i Praktika Fizicheskoy Kultury,"Gilev, G.A., Maksimov, N.E., Chernov, Yu.I. INCREASING THE PERFORMANCE OF SWIMMERS SPECIALIZING IN SPRINTING AND MIDDLE DISTANCES, UNDER DIFFERENT RECOVERY MODES (2023) Teoriya i Praktika Fizicheskoy Kultury, 2023 (11), pp. 99-101",Статья
10.17586/2226-1494-2023-23-5-920-926,1,Daibagya, D.S.,3,"P.N. Lebedev Physical Institute of the Russian Academy of Sciences, Moscow Polytechnic University, Bauman Moscow State Technical University",0.33,2023,Spectral and kinetic characteristics of ultrathin cadmium selenide nanoscrolls [Спектральные и кинетические характеристики свернутых в виде свитков ультратонких нанопластин селенида кадмия],"Scientific and Technical Journal of Information Technologies, Mechanics and Optics","Daibagya, D.S. Spectral and kinetic characteristics of ultrathin cadmium selenide nanoscrolls [Спектральные и кинетические характеристики свернутых в виде свитков ультратонких нанопластин селенида кадмия] (2023) Scientific and Technical Journal of Information Technologies, Mechanics and Optics, 23 (5), pp. 920-926",Статья
10.3389/fspor.2023.1283296,4,Polevoy, G.,2,"Department of Physical Education, Federal State Budgetary Educational Institution of Higher Education",0.12,2023,The effectiveness of one “physical education minute” during lessons to develop concentration in 8- to 10-year-old schoolchildren,Frontiers in Sports and Active Living,"Polevoy, G., Cazan, F., Padulo, J., Ardigò, L.P. The effectiveness of one “physical education minute” during lessons to develop concentration in 8- to 10-year-old schoolchildren (2023) Frontiers in Sports and Active Living, 5, Статья № 1283296",Статья
10.1155/2023/9992393,4,Shvetsov, A.V.,2,"Department of Smart Technologies, North-Eastern Federal University",0.12,2023,Advancing Pandemic Preparedness in Healthcare 5.0: A Survey of Federated Learning Applications,Advances in Human-Computer Interaction,"Hamood Alsamhi, S., Hawbani, A., Shvetsov, A.V., Kumar, S. Advancing Pandemic Preparedness in Healthcare 5.0: A Survey of Federated Learning Applications (2023) Advances in Human-Computer Interaction, 2023, Статья № 9992393",Статья
10.15298/invertzool.20.4.10,2,Temereva, E.N.,2,"Moscow Polytechnic University, Biological faculty Moscow Lomonosov State University",0.25,2023,New data on the spider (Arachnida: Aranei) fauna of Russian Empire,Invertebrate Zoology,"Mikhailov, K.G., Temereva, E.N. New data on the spider (Arachnida: Aranei) fauna of Russian Empire (2023) Invertebrate Zoology, 20 (4), pp. 447-460",Статья
10.1007/s11837-023-06244-0,5,Akopyan, T.K.,2,"Moscow Polytechnic University, National University of Science and Technology MISIS",0.1,2023,New Generation Wrought Al-Ca-Mg Natural Composite Alloys as an Alternative to the 5000 Series Alloys,JOM,"Akopyan, T.K., Belov, N.A., Letyagin, N.V., Fortuna, A.S., Nguen, X.D. New Generation Wrought Al-Ca-Mg Natural Composite Alloys as an Alternative to the 5000 Series Alloys (2023) JOM",Статья
,4,Saenko, N.,1,Moscow Polytechnic University,0.25,2023,Soviet Mythology in Children's Literature,Migration Letters,"Saenko, N., Volkova, P., Kortunov, V., Perederiy, V. Soviet Mythology in Children's Literature (2023) Migration Letters, 20, pp. 481-488",Статья
10.2298/TSCI221126071P,6,"Pokusaev, Zakharov, Vyazmin, Nekrasov, Volkova, Moshin"," B.,  N.,  A.,  D.,  E.,  A.",2,"Moscow Polytechnic University, RTU MIREA – Russian Technological University, Moscow Polytechnic University, RTU MIREA – Russian Technological University, Moscow Polytechnic University, RTU MIREA – Russian Technological University, Moscow Polytechnic University, Moscow Polytechnic University, RTU MIREA – Russian Technological University, Moscow Polytechnic University, RTU MIREA – Russian Technological University",0.58,2023,STUDY OF HYDROGEL MATERIALS THERMOPHYSICAL PROPERTIES,Thermal Science,"Pokusaev, B., Zakharov, N., Vyazmin, A., Nekrasov, D., Volkova, E., Moshin, A. STUDY OF HYDROGEL MATERIALS THERMOPHYSICAL PROPERTIES (2023) Thermal Science, 27 (5), pp. 3701-3708",Статья
10.53737/7274.2023.34.89.019,1,Kokorina, Y.G.,1,Moscow Polytechnic University,1.0,2023,“THE DIGGING OF THE MOUND IS AN ANATOMICAL PREPARATION” (A NEWLY DISCOVERED MANUAL BY IVAN E. ZABELIN ON THE EXCAVATION OF THE NORTH PONTIC BARROWS),Materialy po Arkheologii i Istorii Antichnogo i Srednevekovogo Prichernomor'ya,"Kokorina, Y.G. “THE DIGGING OF THE MOUND IS AN ANATOMICAL PREPARATION” (A NEWLY DISCOVERED MANUAL BY IVAN E. ZABELIN ON THE EXCAVATION OF THE NORTH PONTIC BARROWS) (2023) Materialy po Arkheologii i Istorii Antichnogo i Srednevekovogo Prichernomor'ya, 2023 (15), pp. 590-603",Статья
10.31425/0042-8795-2023-5-167-181,1,Davydova, T.T.,1,Moscow Polytechnic University,1.0,2023,‘There’s been a whole campaign against you’ [«Тут был целый поход против Вас»],Voprosy Literatury,"Davydova, T.T. ‘There’s been a whole campaign against you’ [«Тут был целый поход против Вас»] (2023) Voprosy Literatury, Выпуск 5, pp. 167-181",Статья
10.17580/tsm.2023.10.10,4,"Ovchinnikov, Reztsov, Shumeyko"," V.V.,  R.B.,  R.M.",1,"Department of Materials Science, Department of Materials Science, Department of Materials Science",0.75,2023,PROPERTIES OF ONE-SIDED FRICTION STIR WELDED JOINTS OF 1901T1 ALLOY PLATES,Tsvetnye Metally,"Drits, A.M., Ovchinnikov, V.V., Reztsov, R.B., Shumeyko, R.M. PROPERTIES OF ONE-SIDED FRICTION STIR WELDED JOINTS OF 1901T1 ALLOY PLATES (2023) Tsvetnye Metally, 2023 (10), pp. 82-89",Статья
10.32744/pse.2023.4.24,3,Chvyakin, V.A.,1,Department of Advertising and Public Relations,0.33,2023,"Ensuring psychological safety for people with disabilities, taking into account gender and age characteristics [Обеспечение психологической безопасности лиц с ограниченными возможностями здоровья с учетом гендерных и возрастных особенностей]",Perspektivy Nauki i Obrazovania,"Ascheulov, Y.B., Chvyakin, V.A., Kozilova, L.V. Ensuring psychological safety for people with disabilities, taking into account gender and age characteristics [Обеспечение психологической безопасности лиц с ограниченными возможностями здоровья с учетом гендерных и возрастных особенностей] (2023) Perspektivy Nauki i Obrazovania, 64 (4), pp. 396-410",Статья
10.47360/1995-4484-2023-458-465,3,Beketova, T.V.,3,"Central State Medical Academy of the Administrative Directorate of the President, V.A. Nasonova Research Institute of Rheumatology, Moscow Polytechnic University",0.11,2023,MONOGENIC AUTOINFLAMMATORY SYNDROMES WITH FEATURES OF SYSTEMIC VASCULITIS: A NEW FIELD OF RHEUMATOLOGY [Моногенные аутовоспалительные синдромы с чертами системных васкулитов: новая область ревматологии],Nauchno-Prakticheskaya Revmatologiya,"Beketova, T.V., Beketova, M.F., Nasonov, E.L. MONOGENIC AUTOINFLAMMATORY SYNDROMES WITH FEATURES OF SYSTEMIC VASCULITIS: A NEW FIELD OF RHEUMATOLOGY [Моногенные аутовоспалительные синдромы с чертами системных васкулитов: новая область ревматологии] (2023) Nauchno-Prakticheskaya Revmatologiya, 61 (4), pp. 458-465",Статья
10.15593/perm.mech/2023.4.03,3,"Bondar, Abashev, Fomin"," V.S.,  D.R.,  D.Ju.",1,"Moscow Polytechnical University, Moscow Polytechnical University, Moscow Polytechnical University",1.0,2023,ELASTIC-PLASTIC BEHAVIOR AND FRACTURE OF STRUCTURES WITH LOSS CONCENTRATORS UNDER CYCLIC LOADS,PNRPU Mechanics Bulletin,"Bondar, V.S., Abashev, D.R., Fomin, D.Ju. ELASTIC-PLASTIC BEHAVIOR AND FRACTURE OF STRUCTURES WITH LOSS CONCENTRATORS UNDER CYCLIC LOADS (2023) PNRPU Mechanics Bulletin, 2023 (4), pp. 23-33",Статья
,4,Makarova, E.V.,1,Moscow Polytechnic University,0.25,2023,PECULIARITIES OF TECHNICAL-TACTICAL AND COORDINATING PREPAREDNESS OF JUDOISTS OF VARIOUS WEIGHT CATEGORIES,Teoriya i Praktika Fizicheskoy Kultury,"Fedyaev, N.A., Makarova, E.V., Nikitchenko, S.Yu., Musaev, I.S. PECULIARITIES OF TECHNICAL-TACTICAL AND COORDINATING PREPAREDNESS OF JUDOISTS OF VARIOUS WEIGHT CATEGORIES (2023) Teoriya i Praktika Fizicheskoy Kultury, 2023 (10), pp. 95-97",Статья
10.33383/2022-113,5,"Varlamov, Skvortsov, Nikolaev"," D.O.,  A.A.,  V.K.",1,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",0.6,2023,ACTIVE AREA TEMPERATURE MEASUREMENT OF MEDIUM-POWER LEDS BY DYNAMICS CHANGES IN FORWARD VOLTAGE DURING CURRENT HEATING AND COOLING,Light and Engineering,"Manyakhin, F.I., Varlamov, D.O., Skvortsov, A.A., Mokretsova, L.O., Nikolaev, V.K. ACTIVE AREA TEMPERATURE MEASUREMENT OF MEDIUM-POWER LEDS BY DYNAMICS CHANGES IN FORWARD VOLTAGE DURING CURRENT HEATING AND COOLING (2023) Light and Engineering, 31 (5), pp. 127-134",Статья
,5,Pleshakov, A.A.,1,Moscow Polytechnic University,0.2,2023,ADAPTATION OF THE STRUCTURAL-CONTENTAL COMPONENTS OF EDUCATIONAL STANDARDS TO THE MODERN SYSTEM OF PREPARATION OF A SPORTS RESERVE IN FOOTBALL,Teoriya i Praktika Fizicheskoy Kultury,"Nifontov, M.Yu., Privalov, A.V., Mukhamedzyanov, R.R., Roop, A.A., Pleshakov, A.A. ADAPTATION OF THE STRUCTURAL-CONTENTAL COMPONENTS OF EDUCATIONAL STANDARDS TO THE MODERN SYSTEM OF PREPARATION OF A SPORTS RESERVE IN FOOTBALL (2023) Teoriya i Praktika Fizicheskoy Kultury, 2023 (10), pp. 69-70",Статья
10.14622/JPMTR-2229,3,"Moginov, Vorozhtsov"," R.G.,  A.L.",1,"Moscow State Polytechnic University, Moscow State Polytechnic University",0.67,2023,Multi-criteria choosing the method to print a job,Journal of Print and Media Technology Research,"Moginov, R.G., Vorozhtsov, A.L., Kuznetsov, Y.V. Multi-criteria choosing the method to print a job (2023) Journal of Print and Media Technology Research, 12 (2), pp. 67-72",Статья
10.13187/bg.2023.3.1170,4,Kokorina, Y.G.,1,Moscow Polytechnic University,0.25,2023,I.Е. Zabelin as a Teacher [И.Е. Забелин как педагог],Bylye Gody,"Kokorina, Y.G., Prodanova, N.A., Vagabov, M.M., Ibragimova, E.R. I.Е. Zabelin as a Teacher [И.Е. Забелин как педагог] (2023) Bylye Gody, 18 (3), pp. 1170-1178",Статья
10.18083/LCAPPL.2023.3.77,2,Timoshin, Y.N.,1,Kolomna Institute (branch) Moscow Polytechnic University,0.5,2023,NON-NEWTONIAN FLOW OF HYDROLYZED POLYACRYLAMIDE SOLUTION [НЕНЬЮТОНОВСКОЕ ТЕЧЕНИЕ РАСТВОРА ГИДРОЛИЗОВАННОГО ПОЛИАКРИЛАМИДА],Zhidkie Kristally i Ikh Prakticheskoe Ispol'zovanie,"Timoshin, Y.N., Kirsanov, Е.A. NON-NEWTONIAN FLOW OF HYDROLYZED POLYACRYLAMIDE SOLUTION [НЕНЬЮТОНОВСКОЕ ТЕЧЕНИЕ РАСТВОРА ГИДРОЛИЗОВАННОГО ПОЛИАКРИЛАМИДА] (2023) Zhidkie Kristally i Ikh Prakticheskoe Ispol'zovanie, 23 (3), pp. 77-86",Статья
10.1109/ACCESS.2023.3323399,9,Shvetsov, A.V.,1,Moscow Polytechnic University,0.11,2023,Federated Learning Meets Intelligence Reflection Surface in Drones for Enabling 6G Networks: Challenges and Opportunities,IEEE Access,"Shvetsov, A.V., Alsamhi, S.H., Hawbani, A., Kumar, S., Srivastava, S., Agarwal, S., Rajput, N.S., Alammari, A.A., Nashwan, F.M.A. Federated Learning Meets Intelligence Reflection Surface in Drones for Enabling 6G Networks: Challenges and Opportunities (2023) IEEE Access, 11, pp. 130860-130887",Статья
10.17725/rensit.2023.15.205,3,Tsipenyuk, D.V.,2,"Moscow Polytechnic University, All-Russian Institute of Scientific and Technical Information of RAS",0.17,2023,Electromagnetic wave localization and scattering parameters investigation in a partially absorbing medium depending on the output tract geometric configuration,"Radioelektronika, Nanosistemy, Informacionnye Tehnologii","Kravchenko, Y.V., Tsipenyuk, D.V., Voropinov, A.V. Electromagnetic wave localization and scattering parameters investigation in a partially absorbing medium depending on the output tract geometric configuration (2023) Radioelektronika, Nanosistemy, Informacionnye Tehnologii, 15 (3), pp. 205-214",Статья
10.17580/tsm.2023.06.10,3,Aksenov, A.A.,1,Moscow Polytechnic University,0.33,2023,EFFECT OF IRON IMPURITY ON THE STRUCTURE AND PHASE COMPOSITION OF Al – 6 % Mg – 2 % Ca – 2 % Zn ALLOY,Tsvetnye Metally,"Doroshenko, V.V., Aksenov, A.A., Mansurov, Y.N. EFFECT OF IRON IMPURITY ON THE STRUCTURE AND PHASE COMPOSITION OF Al – 6 % Mg – 2 % Ca – 2 % Zn ALLOY (2023) Tsvetnye Metally, 2023 (6), pp. 73-83",Статья
10.24000/0409-2961-2023-8-77-82,2,Golik, V.I.,2,"Geophysical Institute of Vladikavkaz Scientific Center of the Russian Academy of Sciences, Moscow Polytechnic University",0.25,2023,Implementation of Occupational Safety Principles in the Underground Mining of Complex Structure Ore Deposits,Bezopasnost' Truda v Promyshlennosti,"Golik, V.I., Burdzieva, O.G. Implementation of Occupational Safety Principles in the Underground Mining of Complex Structure Ore Deposits (2023) Bezopasnost' Truda v Promyshlennosti, 2023 (8), pp. 77-82",Статья
10.1007/s10008-023-05695-4,10,Milovich, F.O.,2,"Department of Materials Science of Semiconductors and Dielectrics, Department of Materials Science",0.05,2023,"Solid electrolytes based on zirconium dioxide partially stabilized with oxides of yttrium, gadolinium, and samarium",Journal of Solid State Electrochemistry,"Agarkov, D.A., Borik, M.A., Chislov, A.S., Komarov, B.E., Kulebyakin, A.V., Kuritsyna, I.E., Lomonova, E.E., Milovich, F.O., Myzina, V.A., Tabachkova, N.Y. Solid electrolytes based on zirconium dioxide partially stabilized with oxides of yttrium, gadolinium, and samarium (2023) Journal of Solid State Electrochemistry",Статья
10.21177/1998-4502-2023-15-2-225-23,4,Golik, V.I.,1,Moscow Polytechnic University,0.25,2023,Resource-saving technology of tailings utilization of non-ferrous metals beneficiation,Sustainable Development of Mountain Territories,"Golik, V.I., Dedegkaeva, N.T., Kozhiev, K.Kh., Belodedov, A.A. Resource-saving technology of tailings utilization of non-ferrous metals beneficiation (2023) Sustainable Development of Mountain Territories, 15 (2), pp. 226-232",Статья
10.26896/1028-6861-2023-89-l-35-45,6,Yakushko, E.V.,1,Moscow Polytechnic University,0.17,2023,STUDY OF THE RADAR ABSORPTION OF METAL-CARBON NANOCOMPOSITES (REVIEW) [ИССЛЕДОВАНИЕ РАДИОПОГЛОЩЕНИЯ МЕТАЛЛ-УГЛЕРОДНЬК НАНОКОМПОЗИТОВ (ОБЗОР)],Industrial Laboratory. Materials Diagnostics,"Muratov, D.G., Kozhitov, L.V., Popkova, A.V., Korovin, E.Yu., Yakushko, E.V., Bakirov, M.R. STUDY OF THE RADAR ABSORPTION OF METAL-CARBON NANOCOMPOSITES (REVIEW) [ИССЛЕДОВАНИЕ РАДИОПОГЛОЩЕНИЯ МЕТАЛЛ-УГЛЕРОДНЬК НАНОКОМПОЗИТОВ (ОБЗОР)] (2023) Industrial Laboratory. Materials Diagnostics, 89 (1), pp. 35-45",Обзор
,3,Polevoy, G.G.,2,"Moscow Polytechnic University, Moscow Technical University of Communications and Informatics",0.17,2023,INFLUENCE OF THE GAME «STANDARD CLASSICS» ON THE FORMATION OF THE RHYTHM OF JUNIOR SCHOOLCHILDREN,Teoriya i Praktika Fizicheskoy Kultury,"Polevoy, G.G., Sablin, A.B., Chernyshev, S.V. INFLUENCE OF THE GAME «STANDARD CLASSICS» ON THE FORMATION OF THE RHYTHM OF JUNIOR SCHOOLCHILDREN (2023) Teoriya i Praktika Fizicheskoy Kultury, 2023 (6), pp. 64-65",Статья
10.17509/ajse.v3i3.50799,1,Glushchenko, V.V.,1,Department of Smart Technologies and the Center for Project Activities of the Moscow Polytechnic University,1.0,2023,Ergo design in Project Management Based on the General Theory of Transport Systems in the Conditions of the 10th Technological Order,ASEAN Journal of Science and Engineering,"Glushchenko, V.V. Ergo design in Project Management Based on the General Theory of Transport Systems in the Conditions of the 10th Technological Order (2023) ASEAN Journal of Science and Engineering, 3 (3), pp. 289-300",Статья
10.21177/1998-4502-2023-15-2-473-481,4,"Abramkin, Kuzina, Levkin"," N.I.,  A.V.,  Y.M.",1,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",0.75,2023,"Justification of the roll crusher calculation parameters, taking into account the use of spar screen surface [Обоснование параметров расчета валковой дробилки с учетом применения шпальтовых просеивающих поверхностей]",Sustainable Development of Mountain Territories,"Abramkin, N.I., Mansurov, P.A., Kuzina, A.V., Levkin, Y.M. Justification of the roll crusher calculation parameters, taking into account the use of spar screen surface [Обоснование параметров расчета валковой дробилки с учетом применения шпальтовых просеивающих поверхностей] (2023) Sustainable Development of Mountain Territories, 15 (2), pp. 473-481",Статья
10.21177/1998-4502-2023-15-2-443-449,2,"Sharipzyanova, Eremeeva"," G.Kh.,  Z.V.",2,"Moscow Polytechnic University, Moscow Polytechnic University, National Research Technological University ""MISIS""",0.75,2023,Control of the operational properties of powder materials to increase the corrosion resistance and wear resistance of parts [Управление эксплуатационными свойствами порошковых материалов для повышения коррозионной стойкости и износостойкости деталей],Sustainable Development of Mountain Territories,"Sharipzyanova, G.Kh., Eremeeva, Z.V. Control of the operational properties of powder materials to increase the corrosion resistance and wear resistance of parts [Управление эксплуатационными свойствами порошковых материалов для повышения коррозионной стойкости и износостойкости деталей] (2023) Sustainable Development of Mountain Territories, 15 (2), pp. 443-449",Статья
10.30686/1609-9192-2023-2-85-92,3,"Golik, Titova"," V.I.,  A.V.",2,"Nord-Caucasian State Technological University, Moscow State Polytechnic University, Nord-Caucasian State Technological University, Moscow State Polytechnic University",0.33,2023,Hydrometallurgical processes in underground metal ore mining,Gornaya Promyshlennost,"Golik, V.I., Titova, A.V., Titov, G. Hydrometallurgical processes in underground metal ore mining (2023) Gornaya Promyshlennost, 2023 (2), pp. 85-92",Статья
10.21177/1998-4502-2023-15-2-284-297,4,Klyuev, R.V.,1,Moscow Polytechnic University,0.25,2023,Comprehensive assessment of hydrodynamic processes in the Klinskoye Quarry with the use of their control methods in rock masses [Комплексная оценка гидродинамических процессов на карьерах Клинского месторождения с помощью методов управления ими в массивах горных пород],Sustainable Development of Mountain Territories,"Bosikov, I.I., Klyuev, R.V., Khetagurov, V.N., Silaev, I.V. Comprehensive assessment of hydrodynamic processes in the Klinskoye Quarry with the use of their control methods in rock masses [Комплексная оценка гидродинамических процессов на карьерах Клинского месторождения с помощью методов управления ими в массивах горных пород] (2023) Sustainable Development of Mountain Territories, 15 (2), pp. 284-297",Статья
10.18799/24131830/2023/7/4074,1,Golik, V.I.,2,"Moscow Polytechnic University, Geophysical Institute of Vladikavkaz Scientific Center",0.5,2023,CONTROLLING STRESS-DEFORMED TALNAKH ARRAYS BY STRESS UNLOADING [УПРАВЛЕНИЕ НАПРЯЖЕННО-ДЕФОРМИРОВАННЫМИ МАССИВАМИ ТАЛНАХА РАЗГРУЗКОЙ НАПРЯЖЕНИЙ],"Bulletin of the Tomsk Polytechnic University, Geo Assets Engineering","Golik, V.I. CONTROLLING STRESS-DEFORMED TALNAKH ARRAYS BY STRESS UNLOADING [УПРАВЛЕНИЕ НАПРЯЖЕННО-ДЕФОРМИРОВАННЫМИ МАССИВАМИ ТАЛНАХА РАЗГРУЗКОЙ НАПРЯЖЕНИЙ] (2023) Bulletin of the Tomsk Polytechnic University, Geo Assets Engineering, 334 (7), pp. 59-65",Статья
