Авторы,Идентификатор автора(ов),Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Ссылка,Организации,Авторы организаций,Тип документа,Источник,EID
"Grigoriev S., Vereschaka A., Milovich F., Sitnikov N., Bublikov J., Seleznev A., Sotova C.","57865792000;57208698352;54953308600;36919217300;57186575300;56988998900;36545351000;","Crack formation and oxidation wear in (Cr,Y,Al)N and (Mo,Y,Al)N nanolayer coatings with high content of yttrium",2023,"Wear","528-529",,"204989","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160236204&doi=10.1016%2fj.wear.2023.204989&partnerID=40&md5=a3d214d88b477f53f1ca4f192c6d6f55","Moscow State Technological University STANKIN, Vadkovsky Per. 1, Moscow, 127994, Russian Federation; IDTI RAS, Vadkovsky per. 18-1a, Moscow, 127994, Russian Federation; National University of Science and Technology “MISiS”, Leninsky Prospect 4, Moscow, 119049, Russian Federation; Department of Materials Science, Moscow Polytechnic University, Bolshaya Semyonovskaya Street, 38, Moscow, 107023, Russian Federation; Keldysh Research Center, Onezhskaya St., 8, Building 41, Moscow, 125438, Russian Federation","Grigoriev, S., Moscow State Technological University STANKIN, Vadkovsky Per. 1, Moscow, 127994, Russian Federation; Vereschaka, A., IDTI RAS, Vadkovsky per. 18-1a, Moscow, 127994, Russian Federation; Milovich, F., National University of Science and Technology “MISiS”, Leninsky Prospect 4, Moscow, 119049, Russian Federation, Department of Materials Science, Moscow Polytechnic University, Bolshaya Semyonovskaya Street, 38, Moscow, 107023, Russian Federation; Sitnikov, N., Keldysh Research Center, Onezhskaya St., 8, Building 41, Moscow, 125438, Russian Federation; Bublikov, J., IDTI RAS, Vadkovsky per. 18-1a, Moscow, 127994, Russian Federation; Seleznev, A., Moscow State Technological University STANKIN, Vadkovsky Per. 1, Moscow, 127994, Russian Federation; Sotova, C., Moscow State Technological University STANKIN, Vadkovsky Per. 1, Moscow, 127994, Russian Federation",Article,Scopus,2-s2.0-85160236204
"Shvetsov A.","57192396079;","Study of the effect of permafrost on water transparency in lakes located in the Arctic regions",2023,"E3S Web of Conferences","420",,"04007","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173986703&doi=10.1051%2fe3sconf%2f202342004007&partnerID=40&md5=00f08a0342cc05b11cba40fc0e923f63","Moscow Polytechnic University, Moscow, 107023, Russian Federation; Vladivostok State University, Vladivostok, 690014, Russian Federation","Shvetsov, A., Moscow Polytechnic University, Moscow, 107023, Russian Federation, Vladivostok State University, Vladivostok, 690014, Russian Federation",Conference Paper,Scopus,2-s2.0-85173986703
"Aydinova A., Cherepukhin T., Isaenko A., Chvalun R., Ivashova V.","56584752900;57202496871;58134477500;57214667035;56203510400;","Designing a professional request of the regional farming community for information-analytical, consulting and research services of agricultural education",2023,"E3S Web of Conferences","420",,"03009","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173916018&doi=10.1051%2fe3sconf%2f202342003009&partnerID=40&md5=db8ee90fc846bf858dd92c6d1f0ddb2f","Stavropol State Agrarian University, Stavropol, 355017, Russian Federation; Kuban State Agrarian University, Krasnodar, 350044, Russian Federation; Moscow Polytechnic University, Moscow, 107023, Russian Federation","Aydinova, A., Stavropol State Agrarian University, Stavropol, 355017, Russian Federation; Cherepukhin, T., Kuban State Agrarian University, Krasnodar, 350044, Russian Federation; Isaenko, A., Moscow Polytechnic University, Moscow, 107023, Russian Federation; Chvalun, R., Stavropol State Agrarian University, Stavropol, 355017, Russian Federation; Ivashova, V., Stavropol State Agrarian University, Stavropol, 355017, Russian Federation",Conference Paper,Scopus,2-s2.0-85173916018
"Balovnev N.P., Brovkina Y.I., Starikov A.I.","57936716500;57205456014;58383717300;","Improved Belt Drives",2023,"Russian Engineering Research","43","9",,"1064","1067",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173617815&doi=10.3103%2fS1068798X23090071&partnerID=40&md5=0a958b1d4143e695481390cd63e4f9f0","Moscow Polytechnic University, Moscow, Russian Federation","Balovnev, N.P., Moscow Polytechnic University, Moscow, Russian Federation; Brovkina, Y.I., Moscow Polytechnic University, Moscow, Russian Federation; Starikov, A.I., Moscow Polytechnic University, Moscow, Russian Federation",Article,Scopus,2-s2.0-85173617815
"Doronin F., Rudakova A., Rytikov G., Nazarov V.","57203091767;58626131300;6508055625;7202662388;","Simple Determination of the Melt Flow Index of Composite Polymer Filaments Used in Material Extrusion Additive Manufacturing",2023,"Coatings","13","9","1592","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172796488&doi=10.3390%2fcoatings13091592&partnerID=40&md5=2aacab0d7530673111f37513a1ccdfcb","Faculty of Printing Industry, Moscow Polytechnic University, Moscow, 107023, Russian Federation","Doronin, F., Faculty of Printing Industry, Moscow Polytechnic University, Moscow, 107023, Russian Federation; Rudakova, A., Faculty of Printing Industry, Moscow Polytechnic University, Moscow, 107023, Russian Federation; Rytikov, G., Faculty of Printing Industry, Moscow Polytechnic University, Moscow, 107023, Russian Federation; Nazarov, V., Faculty of Printing Industry, Moscow Polytechnic University, Moscow, 107023, Russian Federation",Article,Scopus,2-s2.0-85172796488
"Doroshenko V., Shurkin P., Sviridova T., Fortuna A., Shkaley I.","57193013629;57191432431;7005343651;57193211734;58124433200;","Phase Composition and Microstructure of Cast Al-6%Mg-2%Ca-2%Zn Alloy with Fe and Si Additions",2023,"Metals","13","9","1584","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172772734&doi=10.3390%2fmet13091584&partnerID=40&md5=8f9342ed3b1e7e3abfcd87ab8a565c79","Sector of Project Activities, Moscow Polytechnical University, Bolyshaya Semenovskaya Str. 38, Moscow, 107023, Russian Federation; Brunel Centre for Advanced Solidification Technology (BCAST), Brunel University London, Middlesex, Uxbridge, UB8 3PH, United Kingdom; Institute of New Materials and Nanotechnology, National University of Science and Technology MISIS, Leninsky Prospekt 4, Moscow, 119049, Russian Federation; Department of Physical Materials Science, National University of Science and Technology MISIS, Leninsky Prospekt 4, Moscow, 119049, Russian Federation; Ishlinsky Institute for Problems in Mechanics RAS, Russian Academy of Sciences, Moscow, 119526, Russian Federation","Doroshenko, V., Sector of Project Activities, Moscow Polytechnical University, Bolyshaya Semenovskaya Str. 38, Moscow, 107023, Russian Federation; Shurkin, P., Brunel Centre for Advanced Solidification Technology (BCAST), Brunel University London, Middlesex, Uxbridge, UB8 3PH, United Kingdom; Sviridova, T., Institute of New Materials and Nanotechnology, National University of Science and Technology MISIS, Leninsky Prospekt 4, Moscow, 119049, Russian Federation; Fortuna, A., Department of Physical Materials Science, National University of Science and Technology MISIS, Leninsky Prospekt 4, Moscow, 119049, Russian Federation; Shkaley, I., Ishlinsky Institute for Problems in Mechanics RAS, Russian Academy of Sciences, Moscow, 119526, Russian Federation",Article,Scopus,2-s2.0-85172772734
"Letyagin N.V., Akopyan T.K., Sokorev A.A., Sviridova T.A., Cherkasov S.O., Mansurov Y.N.","57201442748;55809950100;57205532868;7005343651;57216150737;6507783845;","The Characterization of Coatings Formed on As-Cast Al, Al–Si, and Al–Ca Aluminum Substrates by Plasma Electrolytic Oxidation",2023,"Metals","13","9","1509","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172768889&doi=10.3390%2fmet13091509&partnerID=40&md5=1e7559d6cbcecdcde3650ff11d3aa946","Sector of Scientific Activity, Moscow Polytechnic University, 38, Bolshaya Semyonovskaya Str, Moscow, 107023, Russian Federation; Department of Metal Forming, National University of Science and Technology MISIS, 4 Leninsky Pr, Moscow, 119049, Russian Federation; JSC Aluminum Alloys Plant, 3K Metallurgov Ave, Podolsk, 142155, Russian Federation; Department of Wagons and Wagon Economy, Tashkent State Transport University, 1, Temiryolchilar Street, Tashkent, 100167, Uzbekistan","Letyagin, N.V., Sector of Scientific Activity, Moscow Polytechnic University, 38, Bolshaya Semyonovskaya Str, Moscow, 107023, Russian Federation, Department of Metal Forming, National University of Science and Technology MISIS, 4 Leninsky Pr, Moscow, 119049, Russian Federation; Akopyan, T.K., Sector of Scientific Activity, Moscow Polytechnic University, 38, Bolshaya Semyonovskaya Str, Moscow, 107023, Russian Federation, Department of Metal Forming, National University of Science and Technology MISIS, 4 Leninsky Pr, Moscow, 119049, Russian Federation; Sokorev, A.A., Department of Metal Forming, National University of Science and Technology MISIS, 4 Leninsky Pr, Moscow, 119049, Russian Federation, JSC Aluminum Alloys Plant, 3K Metallurgov Ave, Podolsk, 142155, Russian Federation; Sviridova, T.A., Department of Metal Forming, National University of Science and Technology MISIS, 4 Leninsky Pr, Moscow, 119049, Russian Federation; Cherkasov, S.O., Department of Metal Forming, National University of Science and Technology MISIS, 4 Leninsky Pr, Moscow, 119049, Russian Federation; Mansurov, Y.N., Department of Wagons and Wagon Economy, Tashkent State Transport University, 1, Temiryolchilar Street, Tashkent, 100167, Uzbekistan",Article,Scopus,2-s2.0-85172768889
"Demianenko M., Malanchev K., Samorodova E., Sysak M., Shiriaev A., Derkach D., Hushchyn M.","57386521900;57004771800;57789847100;57788562100;57790050700;32667516700;57208118316;","Understanding of the properties of neural network approaches for transient light curve approximations",2023,"Astronomy and Astrophysics","677",,"A16","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170823988&doi=10.1051%2f0004-6361%2f202245189&partnerID=40&md5=312efebb842f4e48774358dfc348ed2f","Max-Planck-Institut für Astronomie, Königstuhl 17, Heidelberg, 69117, Germany; Department of Astronomy, University of Illinois at Urbana-Champaign, 1002 West Green Street, Urbana, IL  61801, United States; Lomonosov Moscow State University, Sternberg Astronomical Institute, Universitetsky pr. 13, Moscow, 119234, Russian Federation; Lomonosov Moscow State University, Department of Mechanics and Mathematics, Leninskie gory 1, Moscow, 119234, Russian Federation; Moscow Institute of Physics and Technology, Institutskii Pereulok 9, Moscow Region, Dolgoprudny, 141700, Russian Federation; Moscow Polytechnic University, Tverskaya street, 11, Moscow, 125993, Russian Federation; HSE University, 11 Pokrovsky Bulvar, Moscow, 101000, Russian Federation","Demianenko, M., Max-Planck-Institut für Astronomie, Königstuhl 17, Heidelberg, 69117, Germany; Malanchev, K., Department of Astronomy, University of Illinois at Urbana-Champaign, 1002 West Green Street, Urbana, IL  61801, United States, Lomonosov Moscow State University, Sternberg Astronomical Institute, Universitetsky pr. 13, Moscow, 119234, Russian Federation; Samorodova, E., Lomonosov Moscow State University, Department of Mechanics and Mathematics, Leninskie gory 1, Moscow, 119234, Russian Federation; Sysak, M., Moscow Institute of Physics and Technology, Institutskii Pereulok 9, Moscow Region, Dolgoprudny, 141700, Russian Federation; Shiriaev, A., Moscow Polytechnic University, Tverskaya street, 11, Moscow, 125993, Russian Federation; Derkach, D., HSE University, 11 Pokrovsky Bulvar, Moscow, 101000, Russian Federation; Hushchyn, M., HSE University, 11 Pokrovsky Bulvar, Moscow, 101000, Russian Federation",Article,Scopus,2-s2.0-85170823988
"Istomina T.V., Spirkin A.N., Beloglazov A.A.","6701358550;57210929355;57205170620;","Monitoring of Cerebral Activity during Suppression of Pain Sensations Using Virtual Reality Technology",2023,"Biomedical Engineering","57","3",,"228","234",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169319395&doi=10.1007%2fs10527-023-10303-w&partnerID=40&md5=bea5f717f287713e8624d3d9d6effb22","Research Support Center, Penza State Technical University, Penza, Russian Federation; Department of Basic Radio Engineering, Moscow Energy Institute National Research University, Moscow, Russian Federation; Department of Informatics and Information Technology, Moscow Polytechnical University, Moscow, Russian Federation; Department of Information Measuring Equipment and Metrology, Penza State Technical University, Penza, Russian Federation; Department of Information Technologies and Applied Mathematics, Moscow State University for the Humanities and Economics, Moscow, Russian Federation","Istomina, T.V., Research Support Center, Penza State Technical University, Penza, Russian Federation, Department of Basic Radio Engineering, Moscow Energy Institute National Research University, Moscow, Russian Federation, Department of Informatics and Information Technology, Moscow Polytechnical University, Moscow, Russian Federation; Spirkin, A.N., Department of Information Measuring Equipment and Metrology, Penza State Technical University, Penza, Russian Federation; Beloglazov, A.A., Department of Information Technologies and Applied Mathematics, Moscow State University for the Humanities and Economics, Moscow, Russian Federation",Article,Scopus,2-s2.0-85169319395
"Zhao D., Vdonin N., Radionova L., Glebov L., Guseinov K.","58071363500;57218847148;57170512000;57219968410;57223265890;","Resistance spot welding of high-strength low-alloyed (HSLA) 420 steel and bake-hardening (BH) 220 steel",2023,"International Journal of Advanced Manufacturing Technology","128","3-4",,"1441","1453",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165635013&doi=10.1007%2fs00170-023-12013-9&partnerID=40&md5=6502fbfd4b123ec1e7a6fa64233d511c","Department of Welding Engineering, South Ural State University, Chelyabinsk, 454080, Russian Federation; Department of Metallurgy, Moscow Polytechnic University, Bolshaya Semyonovskaya Street 38, Moscow, 107023, Russian Federation; Department of Metal Forming, South Ural State University, Chelyabinsk, 454080, Russian Federation; Department of Engineering Mechanics, South Ural State University, Chelyabinsk, 454080, Russian Federation","Zhao, D., Department of Welding Engineering, South Ural State University, Chelyabinsk, 454080, Russian Federation; Vdonin, N., Department of Welding Engineering, South Ural State University, Chelyabinsk, 454080, Russian Federation; Radionova, L., Department of Metallurgy, Moscow Polytechnic University, Bolshaya Semyonovskaya Street 38, Moscow, 107023, Russian Federation; Glebov, L., Department of Metal Forming, South Ural State University, Chelyabinsk, 454080, Russian Federation; Guseinov, K., Department of Engineering Mechanics, South Ural State University, Chelyabinsk, 454080, Russian Federation",Article,Scopus,2-s2.0-85165635013
"Yudin S., Volodko S., Moskovskikh D., Alimov I., Guryanov A., Zhevnenko S., Guo H., Korotitsky A., Sidnov K., Roslyakov S., Zhang C.","56323516600;57205224775;55511296200;57211275331;57224698590;23399053700;58210111300;16307325500;57190189811;55648730600;7405490089;","Fabrication of high-entropy carbide ceramics (Ti,Zr,Hf,Nb,Ta)C through low-temperature calcium-hydride reduction of oxides",2023,"Journal of the European Ceramic Society","43","12",,"5108","5116",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154551109&doi=10.1016%2fj.jeurceramsoc.2023.04.056&partnerID=40&md5=704cde334ae9da19a8f19a183240f281","National University of Science and Technology MISIS, Moscow, 119049, Russian Federation; Moscow Polytechnic University, Moscow, 107023, Russian Federation; Tula State University, Tula, 300012, Russian Federation; NPU-SAS Joint Research Center, School of Materials Science, Northwestern Polytechnical University, Shaanxi, Xi'an, 710072, China","Yudin, S., National University of Science and Technology MISIS, Moscow, 119049, Russian Federation, Moscow Polytechnic University, Moscow, 107023, Russian Federation; Volodko, S., National University of Science and Technology MISIS, Moscow, 119049, Russian Federation; Moskovskikh, D., National University of Science and Technology MISIS, Moscow, 119049, Russian Federation; Alimov, I., Tula State University, Tula, 300012, Russian Federation; Guryanov, A., Tula State University, Tula, 300012, Russian Federation; Zhevnenko, S., National University of Science and Technology MISIS, Moscow, 119049, Russian Federation; Guo, H., NPU-SAS Joint Research Center, School of Materials Science, Northwestern Polytechnical University, Shaanxi, Xi'an, 710072, China; Korotitsky, A., National University of Science and Technology MISIS, Moscow, 119049, Russian Federation; Sidnov, K., National University of Science and Technology MISIS, Moscow, 119049, Russian Federation; Roslyakov, S., National University of Science and Technology MISIS, Moscow, 119049, Russian Federation; Zhang, C., NPU-SAS Joint Research Center, School of Materials Science, Northwestern Polytechnical University, Shaanxi, Xi'an, 710072, China",Article,Scopus,2-s2.0-85154551109
"Myrzashova R., Alsamhi S.H., Shvetsov A.V., Hawbani A., Wei X.","57215559875;56159911000;57192396079;56817023200;57188703565;","Blockchain Meets Federated Learning in Healthcare: A Systematic Review With Challenges and Opportunities",2023,"IEEE Internet of Things Journal","10","16",,"14418","14437",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153347594&doi=10.1109%2fJIOT.2023.3263598&partnerID=40&md5=1c4e3494955e1c64e879e59a59171af0","University of Science and Technology of China, Department of Computer Science and Technology, Hefei, Anhui, 230026, China; Ibb University, Faculty of Engineering, Ibb, Yemen; Moscow Polytechnic University, Department of Smart Technologies, Moscow, 107023, Russian Federation; North-Eastern Federal University, Department of Operation of Road Transport and Car Service, Yakutsk, 677007, Russian Federation; University of Science and Technology of China, Department of Chemistry, Hefei, Anhui, 230026, China","Myrzashova, R., University of Science and Technology of China, Department of Computer Science and Technology, Hefei, Anhui, 230026, China; Alsamhi, S.H., Ibb University, Faculty of Engineering, Ibb, Yemen; Shvetsov, A.V., Moscow Polytechnic University, Department of Smart Technologies, Moscow, 107023, Russian Federation, North-Eastern Federal University, Department of Operation of Road Transport and Car Service, Yakutsk, 677007, Russian Federation; Hawbani, A., University of Science and Technology of China, Department of Computer Science and Technology, Hefei, Anhui, 230026, China; Wei, X., University of Science and Technology of China, Department of Chemistry, Hefei, Anhui, 230026, China",Article,Scopus,2-s2.0-85153347594
"Bekhterev D., Shmatkov Y., Kuskarbekova S., Karimov I., Zulkarnaev D.","58185495600;57222472701;57212311063;58185998800;58185832800;","Intensification of heat-exchange of a direct-flow steam boiler of a coil type based on an educational laboratory stand",2023,"E3S Web of Conferences","411",,"01015","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169908031&doi=10.1051%2fe3sconf%2f202341101015&partnerID=40&md5=111350e9688a787427c283ff59b08276","South Ural State University, Chelyabinsk, 454080, Russian Federation; Moscow Polytechnic University, Moscow, 107023, Russian Federation","Bekhterev, D., South Ural State University, Chelyabinsk, 454080, Russian Federation; Shmatkov, Y., Moscow Polytechnic University, Moscow, 107023, Russian Federation; Kuskarbekova, S., South Ural State University, Chelyabinsk, 454080, Russian Federation; Karimov, I., South Ural State University, Chelyabinsk, 454080, Russian Federation; Zulkarnaev, D., South Ural State University, Chelyabinsk, 454080, Russian Federation",Conference Paper,Scopus,2-s2.0-85169908031
"Bolgova A.L., Shevtsov A.V., Arkharova N.A., Karimov D.N., Makarov I.S., Gromovykh T.I., Klechkovskaya V.V.","58637641400;58637090800;24536969600;6603436772;16029186800;6506225279;57195610497;","Microstructure of Gel Films of Bacterial Cellulose Synthesized under Static Conditions of Cultivation of the Gluconacetobacter hansenii GH-1/2008 Strain on Nutrient Media with Different Carbon Sources",2023,"Crystallography Reports","68","4",,"607","614",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173603257&doi=10.1134%2fS1063774523600369&partnerID=40&md5=72918edca0bb855d293ec97b6e3281a2","Moscow Polytechnic University, Moscow, 107023, Russian Federation; Skryabin Institute of Bioengineering, Federal Research Centre “Fundamentals of Biotechnology,” Russian Academy of Sciences, Moscow, 119071, Russian Federation; Institute of Artificial Intelligence AIRI, Moscow, 121170, Russian Federation; Shubnikov Institute of Crystallography, Federal Scientific Research Centre “Crystallography and Photonics,” Russian Academy of Sciences, Moscow, 119333, Russian Federation; Topchiev Institute of Petrochemical Synthesis, Russian Academy of Sciences, Moscow, 119991, Russian Federation","Bolgova, A.L., Moscow Polytechnic University, Moscow, 107023, Russian Federation; Shevtsov, A.V., Skryabin Institute of Bioengineering, Federal Research Centre “Fundamentals of Biotechnology,” Russian Academy of Sciences, Moscow, 119071, Russian Federation, Institute of Artificial Intelligence AIRI, Moscow, 121170, Russian Federation; Arkharova, N.A., Shubnikov Institute of Crystallography, Federal Scientific Research Centre “Crystallography and Photonics,” Russian Academy of Sciences, Moscow, 119333, Russian Federation; Karimov, D.N., Shubnikov Institute of Crystallography, Federal Scientific Research Centre “Crystallography and Photonics,” Russian Academy of Sciences, Moscow, 119333, Russian Federation; Makarov, I.S., Topchiev Institute of Petrochemical Synthesis, Russian Academy of Sciences, Moscow, 119991, Russian Federation; Gromovykh, T.I., Moscow Polytechnic University, Moscow, 107023, Russian Federation, Shubnikov Institute of Crystallography, Federal Scientific Research Centre “Crystallography and Photonics,” Russian Academy of Sciences, Moscow, 119333, Russian Federation; Klechkovskaya, V.V., Shubnikov Institute of Crystallography, Federal Scientific Research Centre “Crystallography and Photonics,” Russian Academy of Sciences, Moscow, 119333, Russian Federation",Article,Scopus,2-s2.0-85173603257
"Krasnova E.V., Morgunov Y.A., Saushkin B.P.","57406511700;57189241306;6602088160;","Statistical Analysis of Surface Roughness of Ti–6Al–4V Products Manufactured by Selective Electron Beam Melting",2023,"Surface Engineering and Applied Electrochemistry","59","4",,"401","411",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169696112&doi=10.3103%2fS1068375523040063&partnerID=40&md5=15e11b39dcf3442b7e869df017560890","Moscow Polytechnic University, Moscow, 107023, Russian Federation","Krasnova, E.V., Moscow Polytechnic University, Moscow, 107023, Russian Federation; Morgunov, Y.A., Moscow Polytechnic University, Moscow, 107023, Russian Federation; Saushkin, B.P., Moscow Polytechnic University, Moscow, 107023, Russian Federation",Article,Scopus,2-s2.0-85169696112
"Andreev S.N., Matafonov A.P., Tarakanov V.P., Belyaev V.S., Kedrov A.Y., Krainov V.P., Mukhanov S.A., Lobanov A.V.","35549954300;6603471102;8358179200;7103343465;24344013600;7007184085;57204527190;57191573539;","Numerical Simulations of the Acceleration of Fast Protons and of the Excitation of Nuclear Reactions 11B(p, 3α) and 11B(p, n) 11C at the Intensities of Picosecond Laser Radiation in the Range of 1018-1019 W/cm2",2023,"Physics of Atomic Nuclei","86","4",,"406","415",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169694494&doi=10.1134%2fS1063778823040038&partnerID=40&md5=8c296bc26121301fb09030de728208c1","Moscow Institute of Physics and Technology (National Research University), Moscow oblast, Dolgoprudny, Russian Federation; Moscow State Pedagogical University, Moscow, Russian Federation; Central Research Institute for Machine Building, Moscow oblast, Korolev, Russian Federation; Joint Institute for High Temperatures, Russian Academy of Sciences, Moscow, Russian Federation; Moscow Polytechnic University, Moscow, Russian Federation; National Research Nuclear University MEPhI), Moscow, Russian Federation","Andreev, S.N., Moscow Institute of Physics and Technology (National Research University), Moscow oblast, Dolgoprudny, Russian Federation, Moscow State Pedagogical University, Moscow, Russian Federation; Matafonov, A.P., Central Research Institute for Machine Building, Moscow oblast, Korolev, Russian Federation; Tarakanov, V.P., Joint Institute for High Temperatures, Russian Academy of Sciences, Moscow, Russian Federation; Belyaev, V.S., Central Research Institute for Machine Building, Moscow oblast, Korolev, Russian Federation; Kedrov, A.Y., Central Research Institute for Machine Building, Moscow oblast, Korolev, Russian Federation; Krainov, V.P., Moscow Institute of Physics and Technology (National Research University), Moscow oblast, Dolgoprudny, Russian Federation; Mukhanov, S.A., Moscow Polytechnic University, Moscow, Russian Federation; Lobanov, A.V., National Research Nuclear University MEPhI), Moscow, Russian Federation",Article,Scopus,2-s2.0-85169694494
"Radionova L.V., Perevozchikov D.V., Makoveckii A.N., Eremin V.N., Akhmedyanov A.M., Rushchits S.V.","57170512000;57205454802;57751477100;56996907900;57751216400;6602314403;","Grain Growth during Mechanical Processing of Austenitic Stainless Steel AISI 321",2023,"Metals","13","8","1421","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169105120&doi=10.3390%2fmet13081421&partnerID=40&md5=6499e70771e129357178f27c12a766f4","Department of Metallurgy, Moscow Polytechnic University, Bolshaya Semyonovskaya Str. 38, Moscow, 107023, Russian Federation; PJSC “ChelPipe”, Mashinostroiteley Str. 21, Chelyabinsk, 454129, Russian Federation; Department of Material Science and Physics and Chemistry of Materials, South Ural State University, Lenin Prospect 76, Chelyabinsk, 454080, Russian Federation","Radionova, L.V., Department of Metallurgy, Moscow Polytechnic University, Bolshaya Semyonovskaya Str. 38, Moscow, 107023, Russian Federation; Perevozchikov, D.V., PJSC “ChelPipe”, Mashinostroiteley Str. 21, Chelyabinsk, 454129, Russian Federation; Makoveckii, A.N., PJSC “ChelPipe”, Mashinostroiteley Str. 21, Chelyabinsk, 454129, Russian Federation; Eremin, V.N., PJSC “ChelPipe”, Mashinostroiteley Str. 21, Chelyabinsk, 454129, Russian Federation; Akhmedyanov, A.M., Department of Material Science and Physics and Chemistry of Materials, South Ural State University, Lenin Prospect 76, Chelyabinsk, 454080, Russian Federation; Rushchits, S.V., Department of Material Science and Physics and Chemistry of Materials, South Ural State University, Lenin Prospect 76, Chelyabinsk, 454080, Russian Federation",Article,Scopus,2-s2.0-85169105120
